epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1396.26,0.60088,0.85587,0.89082,0.85839,0.81857,0.88183,0.87442,0.76488,0.63706,0.77487,0.91726,0.000157119,0.000157119,0.000157119
55,1421.71,0.60546,0.87475,0.89885,0.85072,0.86696,0.90992,0.90292,0.81142,0.59258,0.75018,0.90333,0.000156065,0.000156065,0.000156065
56,1447.26,0.59261,0.88744,0.89138,0.90454,0.82256,0.91893,0.91102,0.79949,0.62547,0.67653,0.9075,0.000155011,0.000155011,0.000155011
57,1472.79,0.60041,0.88732,0.89464,0.79413,0.85534,0.8961,0.88831,0.7552,0.67837,0.82751,0.92396,0.000153956,0.000153956,0.000153956
58,1498.25,0.60637,0.83502,0.88532,0.8985,0.79455,0.88604,0.87797,0.76908,0.65458,0.82498,0.9113,0.000152902,0.000152902,0.000152902
59,1523.79,0.5959,0.83966,0.87825,0.81045,0.87628,0.91865,0.91063,0.81639,0.59739,0.73524,0.8993,0.000151848,0.000151848,0.000151848
60,1549.34,0.56974,0.8057,0.8837,0.90868,0.81444,0.91085,0.9037,0.80202,0.62819,0.708,0.91074,0.000150793,0.000150793,0.000150793
61,1574.82,0.58746,0.83133,0.88941,0.87476,0.84128,0.91799,0.91061,0.79502,0.66193,0.76684,0.92698,0.000149739,0.000149739,0.000149739
62,1600.26,0.59168,0.81743,0.88485,0.90266,0.83649,0.91939,0.91568,0.79742,0.61784,0.72846,0.91549,0.000148685,0.000148685,0.000148685
63,1625.63,0.59216,0.81108,0.89624,0.78677,0.89896,0.90216,0.89538,0.79251,0.58998,0.69328,0.89649,0.00014763,0.00014763,0.00014763
64,1651.03,0.57293,0.81555,0.87584,0.91107,0.81317,0.89961,0.89587,0.80455,0.57475,0.76184,0.89204,0.000146576,0.000146576,0.000146576
65,1676.46,0.57704,0.78201,0.88309,0.83374,0.8809,0.91922,0.91149,0.8071,0.60406,0.72492,0.89892,0.000145522,0.000145522,0.000145522
66,1701.98,0.56483,0.80745,0.87056,0.69331,0.90508,0.91454,0.9062,0.79183,0.62084,0.8188,0.90939,0.000144467,0.000144467,0.000144467
67,1727.37,0.57761,0.79599,0.88264,0.83315,0.88782,0.92393,0.9161,0.81657,0.6116,0.70191,0.91527,0.000143413,0.000143413,0.000143413
68,1752.87,0.57094,0.75478,0.88592,0.86439,0.84716,0.92742,0.92014,0.80142,0.639,0.75611,0.92315,0.000142359,0.000142359,0.000142359
69,1778.4,0.54279,0.71828,0.87491,0.87567,0.82914,0.92215,0.91446,0.80312,0.62707,0.77804,0.92303,0.000141304,0.000141304,0.000141304
70,1803.8,0.53667,0.75586,0.86989,0.84778,0.85028,0.92227,0.91455,0.80506,0.6089,0.77336,0.9126,0.00014025,0.00014025,0.00014025
71,1829.35,0.5611,0.75906,0.87981,0.90359,0.83197,0.88447,0.87648,0.75133,0.68893,0.75152,0.95175,0.000139196,0.000139196,0.000139196
72,1854.96,0.56505,0.76248,0.87069,0.83242,0.85821,0.88778,0.88009,0.74907,0.68045,0.68333,0.94376,0.000138141,0.000138141,0.000138141
73,1880.44,0.55105,0.7533,0.87051,0.7734,0.83829,0.87949,0.87237,0.76527,0.63888,0.81673,0.92892,0.000137087,0.000137087,0.000137087
74,1905.68,0.5351,0.73026,0.86913,0.9059,0.80071,0.90502,0.8983,0.78689,0.61165,0.69367,0.91783,0.000136032,0.000136032,0.000136032
75,1931.05,0.56681,0.7384,0.89533,0.91441,0.79293,0.92585,0.91872,0.81621,0.59146,0.67072,0.92103,0.000134978,0.000134978,0.000134978
76,1956.55,0.5463,0.69428,0.87698,0.83323,0.83053,0.89651,0.88971,0.78574,0.61592,0.75559,0.9189,0.000133924,0.000133924,0.000133924
77,1982.15,0.54719,0.71287,0.88023,0.76629,0.90394,0.89079,0.88375,0.78297,0.60247,0.82394,0.91519,0.000132869,0.000132869,0.000132869
78,2007.72,0.54625,0.69214,0.87285,0.80573,0.86484,0.89862,0.89166,0.78424,0.61145,0.70136,0.92609,0.000131815,0.000131815,0.000131815
79,2033.25,0.53405,0.69397,0.87481,0.91316,0.831,0.91585,0.90867,0.80163,0.61893,0.68859,0.9232,0.000130761,0.000130761,0.000130761
80,2058.66,0.53597,0.68803,0.86963,0.86881,0.81888,0.89681,0.88989,0.79488,0.60385,0.72791,0.92056,0.000129706,0.000129706,0.000129706
81,2084.07,0.55302,0.69489,0.87473,0.89839,0.84561,0.91684,0.91004,0.81362,0.5706,0.68478,0.90342,0.000128652,0.000128652,0.000128652
82,2109.69,0.53834,0.68686,0.86976,0.91604,0.84616,0.92658,0.91948,0.82101,0.57216,0.78092,0.90503,0.000127598,0.000127598,0.000127598
83,2135.07,0.5725,0.70724,0.88873,0.87059,0.84929,0.91964,0.9124,0.80528,0.60648,0.72894,0.91771,0.000126543,0.000126543,0.000126543
